"visit_date","category","gender","counts","sales","sales_per_counts"
202002,커피/음료,여성,61727,548056697,8878.7191504528
202002,한식,남성,343667,12796199870,37234.29910349262
202002,한식,여성,201686,6729689326,33367.16145890146
202003,간이주점,남성,5412,984278180,181869.58240946045
202003,간이주점,여성,774,115017620,148601.57622739018
202003,양식,남성,60289,1285781339,21326.964106221698
202003,양식,여성,68472,1244434441,18174.355079448535
202003,유흥주점,남성,8868,1848137356,208405.2047812359
202003,유흥주점,여성,2101,248103475,118088.2793907663
202003,일식/수산물,남성,16392,941478910,57435.267813567596
202003,일식/수산물,여성,10667,499131020,46792.070872785225
202003,제과/제빵/떡/케익,남성,45426,588234076,12949.281820983577
202003,제과/제빵/떡/케익,여성,59987,739236255,12323.274292763432
202003,중식,남성,27750,712790010,25686.126486486486
202003,중식,여성,13993,363783078,25997.504323590365
202003,커피/음료,남성,61115,510507355,8353.22514930868
202003,커피/음료,여성,64902,545333057,8402.40758374164
202003,한식,남성,349724,12685857155,36273.91072674452
202003,한식,여성,199742,6407741807,32080.092354136836
202004,간이주점,남성,5600,1034730614,184773.32392857142
202004,간이주점,여성,727,112192210,154322.15955983495
202004,양식,남성,63112,1313594230,20813.699930282673
202004,양식,여성,75261,1403569398,18649.358871128472
202004,유흥주점,남성,8672,1823332418,210255.122001845
202004,유흥주점,여성,2238,266150667,118923.4436997319
202004,일식/수산물,남성,18352,1084792067,59110.29135789015
202004,일식/수산물,여성,12463,604225800,48481.56944555885
202004,제과/제빵/떡/케익,남성,43421,577258655,13294.457866009534
202004,제과/제빵/떡/케익,여성,63707,807375616,12673.263785769224
202004,중식,남성,28666,738636353,25766.983639154398
202004,중식,여성,16396,436010429,26592.487740912416
202004,커피/음료,남성,64942,532856051,8205.106879985218
202004,커피/음료,여성,71239,597744856,8390.696893555496
202004,한식,남성,357557,13136053855,36738.34900449439
202004,한식,여성,216529,7153987038,33039.394436772905
202005,간이주점,남성,5865,1050106515,179046.29411764705
202005,간이주점,여성,813,126092725,155095.60270602707
202005,양식,남성,85138,1846444155,21687.661854870916
202005,양식,여성,92226,1758099863,19062.9525621842
202005,유흥주점,남성,9105,1891949285,207792.34321801207
202005,유흥주점,여성,2239,279466711,124817.6467172845
202005,일식/수산물,남성,24870,1554159261,62491.32533172497
202005,일식/수산물,여성,15969,827908220,51844.71288120734
202005,제과/제빵/떡/케익,남성,52865,708234572,13397.04099120401
202005,제과/제빵/떡/케익,여성,65657,862156650,13131.222108838358
202005,중식,남성,35056,906456402,25857.38253080785
202005,중식,여성,17661,468926736,26551.539323934092
202005,커피/음료,남성,80892,695050033,8592.321032982249
202005,커피/음료,여성,82419,706740503,8574.970613572114
202005,한식,남성,451230,17245147244,38218.086660904635
202005,한식,여성,259165,9117163751,35178.993116354446
202006,간이주점,남성,5444,973576333,178834.74155033063
202006,간이주점,여성,795,127678960,160602.46540880503
202006,양식,남성,82053,1761004834,21461.797057999098
202006,양식,여성,92435,1759696389,19037.12218315573
202006,유흥주점,남성,8558,1823619661,213089.46728207526
202006,유흥주점,여성,2017,247763230,122837.49628160635
202006,일식/수산물,남성,23818,1466267980,61561.33932320094
202006,일식/수산물,여성,15569,808530060,51932.04830111118
202006,제과/제빵/떡/케익,남성,46675,604348857,12948.02050348152
202006,제과/제빵/떡/케익,여성,58911,742118617,12597.284327205445
202006,중식,남성,32267,814481979,25241.94932903586
202006,중식,여성,16251,412634777,25391.346809427112
