"연월","중분류업종명","소분류업종명","성별","이용자수","이용건수","이용금액"
"201902","유흥주점","일반유흥주점","여성","15664","16905","2182904235"
"201902","일식/수산물","갈치/생선구이","남성","4198","4269","371208200"
"201902","일식/수산물","갈치/생선구이","여성","2972","3058","258124879"
"201902","일식/수산물","게장전문","남성","294","294","22402667"
"201902","일식/수산물","게장전문","여성","336","336","17856001"
"201902","일식/수산물","고등어전문","남성","7142","7279","389346532"
"201902","일식/수산물","고등어전문","여성","5638","5735","281815112"
"201902","일식/수산물","곰장어전문","남성","6510","6551","615575671"
"201902","일식/수산물","곰장어전문","여성","3720","3741","306069602"
"201902","일식/수산물","굴요리전문","남성","6313","6335","179884593"
"201902","일식/수산물","굴요리전문","여성","3643","3665","99077728"
"201902","일식/수산물","낙지/오징어","남성","16406","16556","710956786"
"201902","일식/수산물","낙지/오징어","여성","14100","14228","525263396"
"201902","일식/수산물","매운탕전문","남성","5530","5550","181418719"
"201902","일식/수산물","매운탕전문","여성","3502","3502","118862685"
"201902","일식/수산물","민물장어전문","남성","2440","2478","264625248"
"201902","일식/수산물","민물장어전문","여성","1290","1347","137122276"
"201902","일식/수산물","바닷가재/게요리전문","남성","1882","1900","430563707"
"201902","일식/수산물","바닷가재/게요리전문","여성","1267","1284","244880121"
"201902","일식/수산물","복전문","남성","456","456","26811955"
"201902","일식/수산물","복전문","여성","600","600","25175318"
"201902","일식/수산물","생선찜전문","남성","3607","3628","144038910"
"201902","일식/수산물","생선찜전문","여성","3045","3086","116779894"
"201902","일식/수산물","수산물전문음식점","남성","17201","17340","951623240"
"201902","일식/수산물","수산물전문음식점","여성","14047","14189","749369757"
"201902","일식/수산물","아구전문","남성","8450","8492","424860570"
"201902","일식/수산물","아구전문","여성","6576","6639","313666050"
"201902","일식/수산물","일식","남성","64425","65142","4416390324"
"201902","일식/수산물","일식","여성","51733","52347","2896021261"
"201902","일식/수산물","조개구이전문","남성","2029","2029","135705554"
"201902","일식/수산물","조개구이전문","여성","969","1003","64149942"
"201902","일식/수산물","참치전문점","남성","2788","2907","251339900"
"201902","일식/수산물","참치전문점","여성","1496","1530","122864100"
"201902","일식/수산물","초밥전문","남성","17468","17748","1045355121"
"201902","일식/수산물","초밥전문","여성","15955","16256","847190026"
"201902","일식/수산물","해물찜/탕전문","남성","5916","5944","417611053"
"201902","일식/수산물","해물찜/탕전문","여성","4384","4426","262259323"
"201902","일식/수산물","홍어전문","남성","738","757","42477323"
"201902","일식/수산물","홍어전문","여성","360","360","17292214"
"201902","일식/수산물","횟집","남성","111228","115164","9513411968"
"201902","일식/수산물","횟집","여성","85582","89349","7157550007"
"201902","제과/제빵/떡/케익","떡/한과","남성","23733","24785","766303424"
"201902","제과/제빵/떡/케익","떡/한과","여성","33039","34785","1018504502"
"201902","제과/제빵/떡/케익","와플/파이/디저트","남성","4695","5134","100889264"
"201902","제과/제빵/떡/케익","와플/파이/디저트","여성","5370","5764","90065485"
"201902","제과/제빵/떡/케익","제과점","남성","217553","226177","3314016420"
"201902","제과/제빵/떡/케익","제과점","여성","305414","317966","4641414587"
"201902","제과/제빵/떡/케익","찐빵/만두","남성","15397","15617","234402215"
"201902","제과/제빵/떡/케익","찐빵/만두","여성","16897","17162","238861434"
"201902","제과/제빵/떡/케익","케익전문점","남성","1154","1173","25948347"
"201902","제과/제빵/떡/케익","케익전문점","여성","2040","2153","38424740"
"201902","제과/제빵/떡/케익","호두과자","남성","296","323","7669332"
"201902","제과/제빵/떡/케익","호두과자","여성","216","242","1688000"
"201902","제과/제빵/떡/케익","호떡/붕어빵","남성","1974","2016","17958940"
"201902","제과/제빵/떡/케익","호떡/붕어빵","여성","2205","2247","19073259"
"201902","중식","중국음식","남성","165182","166071","5008637416"
"201902","중식","중국음식","여성","101258","101952","3035714642"
"201902","커피/음료","생과일주스전문점","남성","10548","11099","97602345"
"201902","커피/음료","생과일주스전문점","여성","11671","12086","98670713"
"201902","커피/음료","아이스크림/빙수","남성","30462","31823","489195984"
"201902","커피/음료","아이스크림/빙수","여성","34672","36501","447959257"
"201902","커피/음료","전통찻집/인삼찻집","남성","18760","21546","598146564"
"201902","커피/음료","전통찻집/인삼찻집","여성","24479","29140","845918898"
"201902","커피/음료","커피전문점","남성","465927","502571","6895596856"
"201902","커피/음료","커피전문점","여성","577398","622279","8316479248"
"201902","패스트푸드","도너츠전문","남성","14713","15741","141873741"
"201902","패스트푸드","도너츠전문","여성","18210","19536","164388277"
"201902","패스트푸드","도시락전문점","남성","7154","7360","134440246"
"201902","패스트푸드","도시락전문점","여성","4667","4831","80719754"
"201902","패스트푸드","샌드위치/브런치/샐러드","남성","8907","9331","130063385"
"201902","패스트푸드","샌드위치/브런치/샐러드","여성","12576","13316","188704085"
"201902","패스트푸드","토스트전문","남성","5248","5396","79415269"
"201902","패스트푸드","토스트전문","여성","7027","7296","63060405"
"201902","패스트푸드","패스트푸드","남성","210574","222915","2498049825"
"201902","패스트푸드","패스트푸드","여성","188411","200096","2198296170"
"201902","패스트푸드","피자전문","남성","33144","33827","1011741642"
"201902","패스트푸드","피자전문","여성","30555","31464","897256916"
"201902","패스트푸드","핫도그","남성","10020","10606","87762462"
"201902","패스트푸드","핫도그","여성","13903","14750","122054114"
"201902","한식","기사식당","남성","1870","1914","99820728"
"201902","한식","기사식당","여성","638","660","15221283"
"201902","한식","냉면집","남성","13196","13238","347462734"
"201902","한식","냉면집","여성","8853","8895","218685656"
